	T [K]	r	c [mol/kg]	k [mS/cm]
658	323.15	0.564	0.617	9.924
659	333.15	0.564	0.617	11.083
660	243.15	0.564	0.617	1.915
661	253.15	0.564	0.617	2.689
662	263.15	0.564	0.617	3.56
663	273.15	0.564	0.617	4.484
664	283.15	0.564	0.617	5.478
665	293.15	0.564	0.617	6.523
666	303.15	0.564	0.617	7.536
667	313.15	0.564	0.617	8.677
668	323.15	0.564	0.617	9.575
669	333.15	0.564	0.617	10.458
670	243.15	0.564	0.617	1.931
671	253.15	0.564	0.617	2.75
672	263.15	0.564	0.617	3.643
673	273.15	0.564	0.617	4.572
674	283.15	0.564	0.617	5.552
675	293.15	0.564	0.617	6.605
676	303.15	0.564	0.617	7.724
677	313.15	0.564	0.617	8.786
678	323.15	0.564	0.617	9.745
679	333.15	0.564	0.617	11.059
680	243.15	0.668	0.614	1.905
681	253.15	0.668	0.614	2.643
682	263.15	0.668	0.614	2.746
683	273.15	0.668	0.614	4.486
684	283.15	0.668	0.614	5.315
685	293.15	0.668	0.614	6.372
686	303.15	0.668	0.614	7.449
687	313.15	0.668	0.614	8.246
688	323.15	0.668	0.614	9.82
689	333.15	0.668	0.614	10.969
690	243.15	0.668	0.614	2.119
691	253.15	0.668	0.614	3.01
692	263.15	0.668	0.614	4.031
693	273.15	0.668	0.614	5.136
694	283.15	0.668	0.614	6.341
695	293.15	0.668	0.614	7.747
696	303.15	0.668	0.614	9.156
697	313.15	0.668	0.614	10.583
698	323.15	0.668	0.614	11.879
699	333.15	0.668	0.614	13.185
700	243.15	0.668	0.614	1.927
701	253.15	0.668	0.614	2.7
702	263.15	0.668	0.614	3.558
703	273.15	0.668	0.614	4.479
704	283.15	0.668	0.614	5.451
705	293.15	0.668	0.614	6.51
706	303.15	0.668	0.614	7.575
707	313.15	0.668	0.614	8.699
708	323.15	0.668	0.614	10.113
709	333.15	0.668	0.614	11.424
710	243.15	0.668	0.614	1.912
711	253.15	0.668	0.614	2.682
712	263.15	0.668	0.614	3.535
713	273.15	0.668	0.614	4.499
714	283.15	0.668	0.614	5.511
715	293.15	0.668	0.614	6.298
716	303.15	0.668	0.614	7.727
717	313.15	0.668	0.614	8.963
718	323.15	0.668	0.614	9.16
719	333.15	0.668	0.614	10.974
720	243.15	0.775	0.617	1.986
721	253.15	0.775	0.617	2.75
722	263.15	0.775	0.617	3.597
723	273.15	0.775	0.617	4.36
724	283.15	0.775	0.617	5.666
725	293.15	0.775	0.617	6.7
726	303.15	0.775	0.617	7.801
727	313.15	0.775	0.617	8.972
728	323.15	0.775	0.617	10.042
729	333.15	0.775	0.617	11.56
730	243.15	0.775	0.617	1.993
731	253.15	0.775	0.617	2.789
732	263.15	0.775	0.617	3.688
733	273.15	0.775	0.617	4.602
734	283.15	0.775	0.617	5.578
735	293.15	0.775	0.617	6.581
736	303.15	0.775	0.617	7.706
737	313.15	0.775	0.617	8.834
738	323.15	0.775	0.617	10.006
739	333.15	0.775	0.617	11.152
740	243.15	0.775	0.617	2.087
741	253.15	0.775	0.617	2.937
742	263.15	0.775	0.617	3.909
743	273.15	0.775	0.617	4.911
744	283.15	0.775	0.617	6.151
745	293.15	0.775	0.617	7.261
746	303.15	0.775	0.617	8.063
747	313.15	0.775	0.617	10.307
748	323.15	0.775	0.617	11.683
749	333.15	0.775	0.617	12.892
750	243.15	0.885	0.617	1.911
751	253.15	0.885	0.617	2.666
752	263.15	0.885	0.617	3.512
753	273.15	0.885	0.617	4.245
754	283.15	0.885	0.617	5.338
